199,16,0.012
199,17,0.012
199,20,0.013
199,21,0.014
199,24,0.010
199,25,0.012
199,28,0.012
199,29,0.010
199,32,0.022
199,33,0.022
199,34,0.019
199,35,0.022
199,36,0.023
199,37,0.035
199,38,0.019
199,39,0.022
199,40,0.025
199,41,0.022
199,42,0.016
199,43,0.015
199,44,0.021
199,45,0.021
199,46,0.019
199,47,0.016
199,48,0.023
199,49,0.023
199,50,0.018
199,51,0.022
199,52,0.026
199,53,0.023
199,54,0.022
199,55,0.021
199,56,0.026
199,57,0.024
199,58,0.021
199,59,0.029
199,60,0.021
199,61,0.026
199,62,0.024
199,63,0.022
200,16,0.009
200,17,0.010
200,20,0.011
200,21,0.013
200,24,0.013
200,25,0.015
200,28,0.012
200,29,0.013
200,32,0.015
200,33,0.016
200,34,0.019
200,35,0.017
200,36,0.018
200,37,0.017
200,38,0.019
200,39,0.017
200,40,0.020
200,41,0.020
200,42,0.020
200,43,0.019
200,44,0.021
200,45,0.019
200,46,0.020
200,47,0.018
200,48,0.022
200,49,0.017
200,50,0.016
200,51,0.020
200,52,0.020
200,53,0.018
200,54,0.023
200,55,0.020
200,56,0.024
200,57,0.019
200,58,0.019
200,59,0.019
200,60,0.021
200,61,0.025
200,62,0.020
200,63,0.021
201,16,0.006
201,17,0.009
201,20,0.009
201,21,0.009
201,24,0.009
201,25,0.008
201,28,0.014
201,29,0.013
201,32,0.019
201,33,0.017
201,34,0.015
201,35,0.012
201,36,0.018
201,37,0.014
201,38,0.010
201,39,0.015
201,40,0.020
201,41,0.017
201,42,0.015
201,43,0.013
201,44,0.017
201,45,0.015
201,46,0.019
201,47,0.019
201,48,0.018
201,49,0.018
201,50,0.020
201,51,0.018
201,52,0.022
201,53,0.016
201,54,0.020
201,55,0.018
201,56,0.017
201,57,0.020
201,58,0.019
201,59,0.019
201,60,0.019
201,61,0.019
201,62,0.020
201,63,0.020
202,16,0.009
202,17,0.008
202,20,0.009
202,21,0.006
202,24,0.005
202,25,0.006
202,28,0.007
202,29,0.005
202,32,0.018
202,33,0.016
202,34,0.013
202,35,0.012
202,36,0.015
202,37,0.019
202,38,0.014
202,39,0.012
202,40,0.018
202,41,0.021
202,42,0.013
202,43,0.016
202,44,0.016
202,45,0.015
202,46,0.009
202,47,0.012
202,48,0.021
202,49,0.019
202,50,0.019
202,51,0.020
202,52,0.018
202,53,0.016
202,54,0.020
202,55,0.016
202,56,0.020
202,57,0.020
202,58,0.017
202,59,0.026
202,60,0.023
202,61,0.019
202,62,0.017
202,63,0.020
203,16,0.013
203,17,0.012
203,20,0.012
203,21,0.017
203,24,0.011
203,25,0.016
203,28,0.012
203,29,0.011
203,32,0.020
203,33,0.019
203,34,0.024
203,35,0.017
203,36,0.021
203,37,0.017
